2591,8.29E+08
2346,2.64E+09
2338,4.10E+09
2328,6.87E+09
2322,9.07E+09
2319,1.04E+10
2315,1.21E+10
2310,1.29E+10
2294,1.34E+10
2277,1.38E+10
2245,1.44E+10
2200,1.51E+10
2165,1.58E+10
2148,1.63E+10
2138,1.71E+10
2135,1.88E+10
2131,2.31E+10
2129,2.48E+10
2125,2.60E+10
2104,2.67E+10
2093,2.69E+10
2077,2.70E+10
2058,2.72E+10
2026,2.77E+10
1980,2.84E+10
1915,2.99E+10
1785,3.38E+10
1605,4.41E+10
1505,5.43E+10
1380,5.62E+10
1280,6.02E+10
1205,6.56E+10
1080,7.06E+10
980,7.62E+10
905,7.55E+10
855,7.41E+10
755,6.38E+10
705,5.95E+10
655,6.88E+10
605,1.01E+11
555,1.61E+11
505,2.58E+11
450,4.31E+11
350,1.08E+12
250,2.65E+12
150,6.46E+12
100,1.07E+13
50,2.13E+13
0,6.45E+13
-25,1.55E+14
-50,4.66E+14
-75,1.21E+15
